customer_id,churn_probability,clv_tier,total_clv,avg_delivery_delta,intervene_flag,recommended_voucher_amount,estimated_clv_at_risk,intervention_roi
C00116,0.43306282,Mid,4390,43.85714285714285,0,0,1901.1457798000001,0.0
C00118,0.9201558,Low,1560,2.0,0,0,1435.4430479999999,0.0
C00119,0.50572103,Mid,4870,40.75,1,40,2462.8614161,2943.3515100066234
C00120,0.6123844,Low,1670,39.0,0,0,1022.681948,0.0
C00121,0.8262921,Low,700,-3.0,0,0,578.40447,0.0
C00123,0.20855153,Mid,5260,31.33333333333333,0,0,1096.9810478000002,0.0
C00125,0.63065255,High,6190,44.0,1,80,3903.7392845,1702.2951877436246
C00126,0.62807816,Mid,2270,21.75,0,0,1425.7374232000002,0.0
C00128,0.7734487,Mid,3660,0.375,1,80,2830.8222419999997,701.6580737425182
C00129,0.4105052,Mid,5870,35.666666666666664,0,0,2409.665524,0.0
C00130,0.778362,High,6720,16.5,1,150,5230.59264,672.8653943628799
C00131,0.37748086,High,10970,31.2,0,0,4140.9650341999995,0.0
C00132,0.53213966,Mid,4920,33.666666666666664,1,40,2618.1271272,2962.294619737538
C00135,0.8098999,Mid,2100,23.0,0,0,1700.78979,0.0
C00136,0.6068001,Low,1090,36.5,0,0,661.412109,0.0
C00137,0.76155406,Low,510,19.0,0,0,388.3925706,0.0
C00138,0.6772526,Mid,4400,33.0,1,40,2979.91144,2304.39667372564
C00139,0.7583182,Low,0,21.0,0,0,0.0,0.0
C00140,0.8495397,Low,1740,25.0,0,0,1478.199078,0.0
C00141,0.72844756,Mid,4530,48.0,1,80,3299.8674468,1020.1088210688877
C00143,0.56539273,Mid,3820,36.4,1,40,2159.8002286,2246.662202743055
C00144,0.8457851,Low,1690,-5.0,0,0,1429.3768189999998,0.0
C00145,0.5313321,Mid,2680,15.5,0,0,1423.970028,0.0
C00146,0.8759867,Low,500,0.0,0,0,437.99335,0.0
C00147,0.5608883,Mid,4770,45.66666666666666,1,40,2675.437191,2837.0394329580863
C00148,0.56322235,Mid,4190,9.0,0,0,2359.9016465,0.0
C00149,0.5916052,Mid,2270,28.0,0,0,1342.9438040000002,0.0
C00150,0.27811465,Mid,5250,57.285714285714285,0,0,1460.1019125,0.0
C00151,0.7884869,Low,680,23.0,0,0,536.171092,0.0
C00152,0.45993686,Low,1260,36.71428571428572,0,0,579.5204436,0.0
C00153,0.5882497,Mid,3990,23.33333333333333,0,0,2347.116303,0.0
C00155,0.29965058,Mid,5110,23.2,0,0,1531.2144638,0.0
C00156,0.7848762,Low,1000,50.0,0,0,784.8762,0.0
C00157,0.60129184,High,7950,18.0,1,80,4780.270128,2282.4158837973055
C00158,0.40428445,Mid,4770,26.0,0,0,1928.4368265,0.0
C00159,0.7615234,Low,700,47.0,0,0,533.06638,0.0
C00160,0.44808728,High,10360,21.0,0,0,4642.1842208,0.0
C00163,0.1362256,High,6270,22.666666666666668,0,0,854.134512,0.0
C00164,0.811503,Low,1160,54.0,0,0,941.34348,0.0
C00165,0.8775898,Low,1500,39.0,0,0,1316.3847,0.0
C00166,0.899854,Mid,2000,70.0,0,0,1799.708,0.0
C00167,0.4427006,Mid,2630,32.5,0,0,1164.302578,0.0
C00168,0.38154653,High,9940,40.6,0,0,3792.5725082,0.0
C00169,0.79245096,High,8990,39.66666666666666,1,150,7124.134130400001,885.7381330638365
C00171,0.44017455,Mid,5150,28.0,0,0,2266.8989325,0.0
C00172,0.83640677,Low,300,35.0,0,0,250.922031,0.0
C00173,0.19109963,Mid,5180,42.875,0,0,989.8960834,0.0
C00174,0.47512814,Mid,5640,42.6,0,0,2679.7227095999997,0.0
C00175,0.7974948,Mid,2350,2.5,0,0,1874.11278,0.0
C00177,0.5076688,High,6580,29.6,1,80,3340.460704,1955.766283691456
C00178,0.23438945,Mid,4470,11.6,0,0,1047.7208415,0.0
C00179,0.9251796,Low,710,24.0,0,0,656.877516,0.0
C00180,0.124134555,High,9550,39.55555555555556,0,0,1185.48500025,0.0
C00182,0.45307213,Mid,2670,32.0,0,0,1209.7025871,0.0
C00183,0.86791253,Mid,5170,20.0,1,80,4487.1077801,640.8633928634066
C00184,0.62645197,Mid,1960,15.5,0,0,1227.8458612,0.0
C00185,0.6613514,Low,1420,41.0,0,0,939.1189880000001,0.0
C00186,0.6101224,Low,1620,33.0,0,0,988.398288,0.0
C00187,0.71491957,Low,950,43.0,0,0,679.1735914999999,0.0
C00188,0.6828907,Low,1200,64.0,0,0,819.46884,0.0
C00189,0.4406347,Mid,4740,21.5,0,0,2088.608478,0.0
C00190,0.3242706,Low,1570,-5.0,0,0,509.104842,0.0
C00193,0.7668693,Low,0,47.6,0,0,0.0,0.0
C00194,0.2853159,Mid,5520,59.5,0,0,1574.943768,0.0
C00195,0.48230726,Mid,4310,34.5,0,0,2078.7442906,0.0
C00196,0.9313825,Low,0,40.0,0,0,0.0,0.0
C00197,0.78712755,Mid,3340,18.0,1,80,2629.006017,599.5536898794145
C00198,0.73402244,Low,420,21.5,0,0,308.2894248,0.0
C00199,0.44154087,Mid,5380,32.6,0,0,2375.4898805999997,0.0
C00200,0.20946975,Mid,3360,33.25,0,0,703.81836,0.0
C00201,0.6203885,Mid,5830,20.666666666666668,0,0,3616.864955,0.0
C00202,0.6302169,Mid,3460,18.0,0,0,2180.5504739999997,0.0
C00204,0.53246874,High,10470,34.333333333333336,1,80,5574.9477078,3158.077907827307
C00205,0.476364,High,7550,46.42857142857143,0,0,3596.5482,0.0
C00206,0.6134291,Mid,5070,19.25,0,0,3110.085537,0.0
C00207,0.7032832,Low,740,25.0,0,0,520.429568,0.0
C00208,0.6852932,Low,20,40.0,0,0,13.705864000000002,0.0
C00209,0.60684913,High,9330,15.25,1,80,5661.9023829,2682.4773096152603
C00210,0.26986033,Mid,3540,28.5,0,0,955.3055681999999,0.0
C00211,0.3828279,Mid,4070,31.5,0,0,1558.109553,0.0
C00212,0.17867048,Mid,5850,26.75,0,0,1045.2223079999999,0.0
C00213,0.5361341,Mid,2760,31.666666666666668,1,40,1479.730116,1615.9908550386112
C00214,0.43125293,Mid,5810,34.0,0,0,2505.5795233,0.0
C00215,0.19036837,High,13610,36.9,0,0,2590.9135157,0.0
C00216,0.49916586,Mid,2120,21.0,0,0,1058.2316232,0.0
C00217,0.2661259,Low,1420,72.0,0,0,377.89877800000005,0.0
C00218,0.4374565,High,6110,41.85714285714285,0,0,2672.859215,0.0
C00219,0.9352312,Low,1350,35.0,0,0,1262.56212,0.0
C00220,0.426385,High,7480,26.0,0,0,3189.3598,0.0
C00221,0.6688969,Low,0,76.0,0,0,0.0,0.0
C00222,0.39221257,Mid,2830,26.0,0,0,1109.9615731,0.0
C00223,0.76033247,Low,1050,72.0,0,0,798.3490935000001,0.0
C00224,0.89428854,Low,130,17.0,0,0,116.2575102,0.0
C00225,0.75736815,Mid,2110,8.0,0,0,1598.0467965,0.0
C00227,0.6598747,Mid,4550,44.0,1,40,3002.429885,2453.005913411476
C00228,0.5565005,High,12240,41.66666666666666,1,80,6811.5661199999995,3676.1577105461756
C00229,0.6884025,Mid,5560,34.333333333333336,1,40,3827.5179000000003,2881.612522113125
C00230,0.30211347,High,6680,46.75,0,0,2018.1179796,0.0
C00231,0.75792634,High,7570,1.3333333333333333,1,150,5737.5023938,825.9321358172848
C00232,0.34411195,High,9380,54.333333333333336,0,0,3227.770091,0.0
C00233,0.7241304,Low,1690,13.0,0,0,1223.780376,0.0
C00234,0.20309909,High,7300,12.5,0,0,1482.6233570000002,0.0
C00235,0.7474657,Mid,4710,16.5,1,80,3520.563447,1011.3287821171649
C00236,0.5524267,Low,480,19.0,0,0,265.16481600000003,0.0
C00237,0.4241487,High,9220,41.333333333333336,0,0,3910.651014,0.0
C00238,0.5593545,Mid,3250,26.0,0,0,1817.9021249999998,0.0
C00239,0.3549843,High,7400,32.833333333333336,0,0,2626.88382,0.0
C00240,0.9326524,Low,280,-4.0,0,0,261.142672,0.0
C00241,0.6416268,Mid,4510,23.666666666666668,0,0,2893.7368680000004,0.0
C00242,0.5484728,Low,1130,43.0,0,0,619.774264,0.0
C00243,0.7901387,Mid,2660,59.0,1,80,2101.7689419999997,451.3499530846808
C00244,0.4526614,Mid,4810,31.285714285714285,0,0,2177.3013339999998,0.0
C00245,0.64435035,High,7100,40.57142857142857,1,80,4574.887484999999,1933.8214160370378
C00246,0.5271444,Mid,3790,24.75,0,0,1997.877276,0.0
C00247,0.45148328,High,6160,42.0,0,0,2781.1370048,0.0
C00248,0.61657554,Low,680,39.0,0,0,419.27136720000004,0.0
C00249,0.6992185,Low,1310,13.0,0,0,915.976235,0.0
C00250,0.51060116,Mid,5080,28.857142857142858,0,0,2593.8538928,0.0
C00251,0.8162513,High,6360,-3.0,1,150,5191.358268,535.9368886528343
C00256,0.739052,Mid,2060,59.0,1,80,1522.44712,396.59941383719996
C00257,0.5704759,Mid,4550,50.0,1,40,2595.6653450000003,2687.2520530307866
C00260,0.7104057,Mid,5530,17.5,1,80,3928.543521,1322.104763729413
C00263,0.18015975,Mid,2670,25.75,0,0,481.02653250000003,0.0
C00264,0.66685045,Low,780,12.0,0,0,520.1433509999999,0.0
C00266,0.4887058,High,10240,14.0,0,0,5004.347392000001,0.0
C00267,0.5760816,Low,1530,23.0,0,0,881.4048479999999,0.0
C00268,0.6911519,Mid,5150,62.0,1,40,3559.4322850000003,2648.309745752271
C00270,0.32068855,Mid,4830,47.25,0,0,1548.9256965000002,0.0
C00272,0.34948117,Mid,3760,27.0,0,0,1314.0491992,0.0
C00273,0.28508168,Mid,4590,45.0,0,0,1308.5249112,0.0
C00274,0.5679266,High,7040,44.0,1,80,3998.2032639999998,2059.3965977094717
C00275,0.5373663,Low,750,72.0,0,0,403.024725,0.0
C00277,0.71433663,Low,1270,4.0,0,0,907.2075201,0.0
C00278,0.8195957,Low,1000,34.0,0,0,819.5957000000001,0.0
C00279,0.46792582,Mid,4000,37.5,0,0,1871.70328,0.0
C00280,0.8969228,Mid,2910,20.0,0,0,2610.045348,0.0
C00281,0.41290373,High,6140,16.333333333333332,0,0,2535.2289022,0.0
C00285,0.14575255,Mid,5390,26.375,0,0,785.6062445,0.0
C00286,0.6981027,Low,540,68.0,0,0,376.975458,0.0
C00287,0.54920506,Mid,1950,24.5,0,0,1070.949867,0.0
C00288,0.76912785,High,8030,51.66666666666666,1,150,6176.096635499999,850.5924725637676
C00289,0.8429791,Mid,2030,35.0,0,0,1711.2475729999999,0.0
C00292,0.8492563,Low,1260,39.5,0,0,1070.062938,0.0
C00293,0.75062627,Mid,4140,3.5,1,80,3107.5927578,868.6899966669657
C00294,0.17359413,High,12800,34.5,0,0,2222.004864,0.0
C00295,0.7492118,Low,720,37.0,0,0,539.432496,0.0
C00297,0.4422506,High,7070,54.8,0,0,3126.711742,0.0
C00299,0.38575307,High,9890,23.714285714285715,0,0,3815.0978622999996,0.0
C00300,0.5412889,Mid,4580,32.285714285714285,1,40,2479.103162,2742.9803461362458
C00301,0.8630403,Mid,3950,40.0,1,80,3409.009185,483.62109409355566
C00303,0.56048524,Low,500,13.0,0,0,280.24262,0.0
C00305,0.5662951,Mid,2420,30.0,0,0,1370.434142,0.0
C00307,0.46079668,Mid,4430,31.285714285714285,0,0,2041.3292924,0.0
C00308,0.54177797,Mid,2370,24.666666666666668,0,0,1284.0137889000002,0.0
C00309,0.87502754,Low,0,30.0,0,0,0.0,0.0
C00310,0.68025863,Mid,1890,16.0,0,0,1285.6888107,0.0
C00311,0.66463065,Low,500,12.0,0,0,332.315325,0.0
C00312,0.5511636,Mid,3090,38.333333333333336,1,40,1703.0955239999998,1811.028159620684
C00313,0.40912774,High,6230,27.0,0,0,2548.8658202,0.0
C00314,0.42187738,Mid,4630,36.8,0,0,1953.2922694000001,0.0
C00316,0.59892124,Mid,4830,40.333333333333336,1,40,2892.7895892,2800.5911534431134
C00317,0.26944554,Mid,4710,13.0,0,0,1269.0884933999998,0.0
C00320,0.76656514,High,6060,39.0,1,150,4645.3847484,622.9298255925928
C00321,0.6819007,Mid,3420,43.0,1,40,2332.100394,1754.5987571528105
C00322,0.3699707,High,6630,22.0,0,0,2452.905741,0.0
C00323,0.37706667,High,6650,41.6,0,0,2507.4933555,0.0
C00324,0.67456496,Mid,2000,31.5,1,40,1349.12992,997.6353737009921
C00325,0.657703,Mid,3190,47.0,1,40,2098.0725700000003,1695.4098662332249
C00326,0.5583573,Low,1140,23.0,0,0,636.5273219999999,0.0
C00327,0.6772788,High,6730,35.0,1,80,4558.086324,1738.738860231086
C00328,0.7758421,Low,950,36.0,0,0,737.049995,0.0
C00329,0.7026794,High,6680,36.5,1,150,4693.898392,830.3951241656504
C00330,0.62925243,Mid,2610,59.0,1,40,1642.3488423,1422.2421059375956
C00331,0.41908675,High,6110,39.0,0,0,2560.6200425,0.0
C00332,0.7191503,Mid,3500,39.0,1,80,2517.02605,783.6325137933562
C00335,0.85484695,Mid,2000,54.0,0,0,1709.6939,0.0
C00336,0.34774363,High,7750,19.6,0,0,2695.0131325,0.0
C00337,0.40969798,High,8260,32.0,0,0,3384.1053148,0.0
C00338,0.8649877,Low,400,73.0,0,0,345.99508000000003,0.0
C00339,0.2518445,High,19290,12.0,0,0,4858.080405000001,0.0
C00340,0.58004,Low,1770,21.0,0,0,1026.6708,0.0
C00341,0.483792,Mid,3080,44.0,0,0,1490.07936,0.0
C00342,0.41629186,High,8320,33.333333333333336,0,0,3463.5482752000003,0.0
C00343,0.42149022,High,7210,18.4,0,0,3038.9444862,0.0
C00344,0.37040886,Mid,5110,43.66666666666666,0,0,1892.7892746,0.0
C00345,0.56564677,Mid,3530,33.0,1,40,1996.7330980999998,2068.2186765191045
C00346,0.39919597,High,7410,48.5,0,0,2958.0421377000002,0.0
C00347,0.6514009,Mid,2550,24.0,0,0,1661.072295,0.0
C00348,0.61162597,Low,1050,63.0,0,0,642.2072684999999,0.0
C00349,0.7671389,Mid,5020,45.333333333333336,1,80,3851.037278,1020.9459708701073
C00352,0.5321432,Mid,4990,20.666666666666668,0,0,2655.394568,0.0
C00353,0.35322878,Mid,3100,20.25,0,0,1095.0092180000001,0.0
C00354,0.37720016,High,8590,37.66666666666666,0,0,3240.1493744,0.0
C00355,0.52007586,Mid,4100,14.833333333333334,0,0,2132.311026,0.0
C00356,0.8244197,Low,850,16.0,0,0,700.756745,0.0
C00357,0.8276609,Mid,2330,67.0,0,0,1928.449897,0.0
C00358,0.68904865,Mid,2770,17.0,0,0,1908.6647605,0.0
C00359,0.42229584,Mid,3710,39.5,0,0,1566.7175664,0.0
C00360,0.26142117,Mid,4410,26.33333333333333,0,0,1152.8673597,0.0
C00361,0.6432031,Mid,5660,43.75,1,40,3640.529546,3147.3241409280186
C00362,0.4496518,Mid,3710,24.33333333333333,0,0,1668.2081779999999,0.0
C00364,0.62782353,High,6490,30.0,1,80,4074.5747097000003,1795.576040259276
C00365,0.79699147,Low,140,15.0,0,0,111.5788058,0.0
C00366,0.6725807,Mid,2730,0.0,0,0,1836.145311,0.0
C00367,0.28690302,High,7060,52.5,0,0,2025.5353212,0.0
C00368,0.669213,Low,600,33.5,0,0,401.52779999999996,0.0
C00369,0.5349461,Mid,4060,25.0,0,0,2171.881166,0.0
C00370,0.6983781,Mid,2950,12.0,0,0,2060.215395,0.0
C00371,0.7131066,Mid,2070,13.0,1,80,1476.130662,429.3651805817885
C00372,0.7310618,Mid,5780,48.0,1,80,4225.537204,1320.5104620959912
C00374,0.33220547,High,9750,48.85714285714285,0,0,3239.0033325,0.0
C00377,0.57375854,Low,950,44.0,0,0,545.0706130000001,0.0
C00378,0.36058545,High,6540,34.8,0,0,2358.228843,0.0
C00379,0.7292134,Mid,3100,62.0,1,80,2260.56154,665.162216884205
C00380,0.35625947,Low,1670,30.0,0,0,594.9533149,0.0
C00381,0.70097893,Mid,2810,15.666666666666666,1,80,1969.7507933,636.2462373073936
C00382,0.32334617,High,10260,30.0,0,0,3317.5317041999997,0.0
C00383,0.4978072,Mid,2700,20.0,0,0,1344.07944,0.0
C00384,0.52806884,Mid,3530,9.0,0,0,1864.0830052,0.0
C00385,0.2901328,High,8430,19.0,0,0,2445.819504,0.0
C00386,0.30667892,High,6890,44.25,0,0,2113.0177588,0.0
C00387,0.45927387,High,6760,26.2,0,0,3104.6913612,0.0
C00388,0.53794336,High,6670,36.0,1,80,3588.0822112,1972.371513188553
C00389,0.71076834,Low,730,4.0,0,0,518.8608882,0.0
C00391,0.48497888,Mid,3690,30.666666666666668,0,0,1789.5720672,0.0
C00392,0.7777222,Mid,2070,49.0,0,0,1609.884954,0.0
C00393,0.6797539,Low,1350,49.0,0,0,917.667765,0.0
C00394,0.47183302,Mid,4990,27.5,0,0,2354.4467698,0.0
C00396,0.7956983,High,6270,34.0,1,150,4989.028341,579.5113142763199
C00397,0.87409323,Low,760,-4.0,0,0,664.3108548,0.0
C00398,0.5024217,High,9770,36.0,1,80,4908.660008999999,2953.0533781952554
C00399,0.69141614,High,6420,9.0,1,80,4438.891618799999,1612.2128873136908
C00400,0.24940875,High,9040,51.142857142857146,0,0,2254.6551,0.0
C00401,0.4877937,Mid,3580,40.75,0,0,1746.301446,0.0
C00402,0.13940085,Low,1650,13.5,0,0,230.01140249999997,0.0
C00403,0.67262316,Mid,2970,40.75,1,40,1997.6907852,1534.994241389737
C00404,0.7165817,Low,1790,49.0,0,0,1282.681243,0.0
C00405,0.24154031,High,9940,35.22222222222222,0,0,2400.9106814,0.0
C00406,0.6154957,Low,0,30.0,0,0,0.0,0.0
C00408,0.23170727,High,7870,21.666666666666668,0,0,1823.5362149,0.0
C00409,0.71927327,Mid,2000,14.5,1,80,1438.5465399999998,404.7980826587677
C00410,0.43965682,Mid,2590,33.5,0,0,1138.7111638000001,0.0
C00411,0.7404729,Low,300,35.5,0,0,222.14186999999998,0.0
C00412,0.9088547,Low,0,70.0,0,0,0.0,0.0
C00413,0.5583123,Low,1700,14.5,0,0,949.13091,0.0
C00414,0.6089128,Mid,2230,32.5,1,40,1357.875544,1227.619361128592
C00415,0.62896806,Low,1720,35.75,0,0,1081.8250632000002,0.0
C00416,0.418426,High,7320,18.666666666666668,0,0,3062.8783200000003,0.0
C00417,0.7021335,Low,690,60.0,0,0,484.472115,0.0
C00419,0.5252983,High,7410,31.0,1,80,3892.460403,2209.696963108481
C00420,0.45090425,Mid,3960,7.5,0,0,1785.58083,0.0
C00421,0.8323703,Mid,3870,29.0,1,80,3221.273061,574.9762960418896
C00423,0.4395185,Mid,5140,46.0,0,0,2259.12509,0.0
C00424,0.8614241,Low,1620,-5.0,0,0,1395.507042,0.0
C00426,0.4476648,Mid,4580,13.666666666666666,0,0,2050.304784,0.0
C00427,0.8290903,Mid,2320,35.0,0,0,1923.489496,0.0
C00428,0.29917258,High,11300,23.6,0,0,3380.6501540000004,0.0
C00429,0.65507656,Low,940,19.0,0,0,615.7719664,0.0
C00430,0.790881,Mid,2940,25.0,1,80,2325.1901399999997,507.80179610832505
C00431,0.48077646,Mid,2020,35.666666666666664,0,0,971.1684492,0.0
C00432,0.89444196,Mid,2140,4.0,0,0,1914.1057944,0.0
C00433,0.7765021,Low,150,4.0,0,0,116.475315,0.0
C00434,0.91494095,Low,1570,2.0,0,0,1436.4572914999999,0.0
C00436,0.35657427,Mid,4300,13.5,0,0,1533.2693610000001,0.0
C00437,0.47048098,High,6900,21.0,0,0,3246.318762,0.0
C00438,0.91691864,Mid,1880,-5.0,0,0,1723.8070432,0.0
C00440,0.3436554,High,9750,60.0,0,0,3350.64015,0.0
C00442,0.3383238,Mid,3960,44.0,0,0,1339.762248,0.0
C00443,0.56922674,Low,1330,49.5,0,0,757.0715641999999,0.0
C00444,0.7275286,Low,1010,12.0,0,0,734.8038859999999,0.0
C00445,0.4114875,Mid,4870,27.0,0,0,2003.944125,0.0
C00446,0.7330987,Mid,2720,22.0,1,80,1994.028464,565.260986598254
C00448,0.84507924,Low,450,4.0,0,0,380.285658,0.0
C00449,0.5721416,Mid,5850,46.333333333333336,1,40,3347.0283600000002,3480.1354971605597
C00451,0.84457713,Mid,2080,54.0,0,0,1756.7204304,0.0
C00452,0.59671485,Mid,5710,12.0,0,0,3407.2417935000003,0.0
