customer_id,age,city,state,days_since_registration,total_orders,first_order_date,last_order_date,days_since_last_order,churn_flag,avg_delivery_delta,max_delivery_delta,pct_late_orders,avg_rating,min_rating,pct_cancelled_returned,total_clv,clv_tier
C00051,58,Chennai,Tamil Nadu,213,2,2023-12-12 00:00:00,2024-08-22 00:00:00,131,1,32.0,53,100.0,,,50.0,3290,Mid
C00052,45,Chennai,Tamil Nadu,685,2,2023-01-15 00:00:00,2024-08-16 00:00:00,137,1,0.0,1,50.0,5.0,5.0,0.0,1690,Low
C00053,34,Bengaluru,Karnataka,278,2,2023-02-22 00:00:00,2023-04-29 00:00:00,612,1,45.666666666666664,47,100.0,2.5,2.0,100.0,4890,Mid
C00055,45,Bengaluru,Karnataka,688,1,2024-10-29 00:00:00,2024-10-29 00:00:00,63,0,48.0,48,100.0,2.0,2.0,0.0,0,Low
C00057,44,Lucknow,Uttar Pradesh,572,3,2023-02-24 00:00:00,2024-04-16 00:00:00,259,1,9.333333333333334,37,33.33333333333333,4.0,4.0,0.0,7630,High
C00058,19,Bengaluru,Karnataka,390,3,2023-05-29 00:00:00,2024-04-25 00:00:00,250,1,36.5,53,100.0,5.0,5.0,0.0,6070,High
C00059,24,Kolkata,West Bengal,691,4,2023-03-24 00:00:00,2024-12-10 00:00:00,21,0,33.0,56,100.0,4.0,3.0,25.0,13350,High
C00060,47,Pune,Maharashtra,418,1,2024-10-27 00:00:00,2024-10-27 00:00:00,65,0,9.0,9,100.0,,,0.0,0,Low
C00061,43,Pune,Maharashtra,445,1,2023-02-28 00:00:00,2023-02-28 00:00:00,672,1,56.0,56,100.0,,,100.0,0,Low
C00062,43,Jaipur,Rajasthan,391,4,2023-05-12 00:00:00,2024-05-19 00:00:00,226,1,19.0,35,100.0,5.0,5.0,25.0,5000,Mid
C00063,34,Mumbai,Maharashtra,619,1,2024-02-09 00:00:00,2024-02-09 00:00:00,326,1,19.0,19,100.0,,,0.0,0,Low
C00065,30,Chennai,Tamil Nadu,685,3,2024-06-25 00:00:00,2024-09-16 00:00:00,106,1,24.285714285714285,50,100.0,3.6666666666666665,2.0,0.0,2750,Mid
C00066,52,Hyderabad,Telangana,358,1,2024-05-08 00:00:00,2024-05-08 00:00:00,237,1,36.0,36,100.0,4.5,4.0,0.0,250,Low
C00068,36,Jaipur,Rajasthan,600,1,2023-10-23 00:00:00,2023-10-23 00:00:00,435,1,10.0,10,100.0,4.0,3.0,0.0,0,Low
C00069,29,Lucknow,Uttar Pradesh,148,1,2023-11-12 00:00:00,2023-11-12 00:00:00,415,1,19.0,19,100.0,5.0,5.0,0.0,740,Low
C00070,37,Chennai,Tamil Nadu,515,4,2023-02-21 00:00:00,2024-09-24 00:00:00,98,1,35.0,43,100.0,3.4,1.0,25.0,8320,High
C00071,47,Ahmedabad,Gujarat,278,2,2023-08-18 00:00:00,2024-04-27 00:00:00,248,1,17.0,19,100.0,4.5,4.0,0.0,1230,Low
C00072,28,Delhi,Delhi,440,1,2023-01-07 00:00:00,2023-01-07 00:00:00,724,1,1.0,1,100.0,,,0.0,2250,Mid
C00073,33,Chennai,Tamil Nadu,500,3,2023-11-20 00:00:00,2024-07-10 00:00:00,174,1,32.0,60,100.0,,,0.0,3700,Mid
C00074,48,Lucknow,Uttar Pradesh,656,2,2023-08-29 00:00:00,2024-06-22 00:00:00,192,1,35.5,52,100.0,4.0,4.0,0.0,3860,Mid
C00075,42,Ahmedabad,Gujarat,321,4,2023-03-14 00:00:00,2024-03-11 00:00:00,295,1,38.25,77,100.0,4.0,4.0,25.0,10410,High
C00076,24,Kolkata,West Bengal,506,3,2023-01-17 00:00:00,2023-12-20 00:00:00,377,1,18.6,24,100.0,3.6,3.0,0.0,7270,High
C00077,33,Delhi,Delhi,263,1,2024-02-04 00:00:00,2024-02-04 00:00:00,331,1,2.0,2,100.0,5.0,5.0,0.0,2470,Mid
C00079,53,Ahmedabad,Gujarat,568,3,2023-06-10 00:00:00,2024-02-08 00:00:00,327,1,22.333333333333332,32,100.0,5.0,5.0,0.0,2540,Mid
C00082,27,Hyderabad,Telangana,338,2,2023-02-27 00:00:00,2023-05-31 00:00:00,580,1,21.333333333333332,36,100.0,4.0,2.0,0.0,1930,Mid
C00083,39,Jaipur,Rajasthan,253,2,2023-10-04 00:00:00,2024-05-12 00:00:00,233,1,42.0,62,100.0,4.0,4.0,0.0,8100,High
C00084,42,Lucknow,Uttar Pradesh,18,1,2023-04-29 00:00:00,2023-04-29 00:00:00,612,1,14.0,14,100.0,,,0.0,260,Low
C00085,40,Chennai,Tamil Nadu,331,4,2023-06-01 00:00:00,2024-10-29 00:00:00,63,0,26.0,48,66.66666666666666,3.75,3.0,0.0,14300,High
C00086,32,Ahmedabad,Gujarat,506,3,2023-06-30 00:00:00,2023-10-18 00:00:00,440,1,38.8,44,100.0,4.0,2.0,0.0,2550,Mid
C00087,39,Kolkata,West Bengal,561,4,2023-08-07 00:00:00,2024-12-04 00:00:00,27,0,37.75,79,100.0,4.0,4.0,0.0,7710,High
C00088,43,Lucknow,Uttar Pradesh,153,3,2023-06-09 00:00:00,2024-01-11 00:00:00,355,1,13.5,19,100.0,4.0,3.0,0.0,9600,High
C00089,47,Bengaluru,Karnataka,679,3,2023-02-20 00:00:00,2024-04-23 00:00:00,252,1,33.6,54,100.0,4.2,3.0,66.66666666666667,2800,Mid
C00090,38,Pune,Maharashtra,342,1,2023-04-18 00:00:00,2023-04-18 00:00:00,623,1,57.0,57,100.0,,,0.0,1860,Mid
C00091,48,Mumbai,Maharashtra,178,3,2023-07-12 00:00:00,2024-12-17 00:00:00,14,0,14.833333333333334,51,100.0,3.5,3.0,0.0,8310,High
C00092,59,Mumbai,Maharashtra,699,2,2023-12-11 00:00:00,2024-04-06 00:00:00,269,1,31.0,59,100.0,3.0,2.0,50.0,6350,High
C00093,33,Bengaluru,Karnataka,246,3,2023-02-06 00:00:00,2024-01-25 00:00:00,341,1,12.333333333333334,36,83.33333333333334,4.166666666666667,2.0,0.0,5800,Mid
C00094,34,Pune,Maharashtra,559,1,2024-08-08 00:00:00,2024-08-08 00:00:00,145,1,23.0,23,100.0,,,0.0,3310,Mid
C00095,28,Chennai,Tamil Nadu,620,1,2024-02-02 00:00:00,2024-02-02 00:00:00,333,1,10.0,10,100.0,,,100.0,2800,Mid
C00096,42,Kolkata,West Bengal,527,2,2023-01-15 00:00:00,2024-10-30 00:00:00,62,0,63.0,74,100.0,,,50.0,3030,Mid
C00097,37,Lucknow,Uttar Pradesh,607,1,2024-05-26 00:00:00,2024-05-26 00:00:00,219,1,19.0,19,100.0,,,0.0,500,Low
C00098,60,Pune,Maharashtra,660,1,2023-12-06 00:00:00,2023-12-06 00:00:00,391,1,35.0,35,100.0,3.0,1.0,0.0,2260,Mid
C00099,49,Delhi,Delhi,287,1,2024-06-27 00:00:00,2024-06-27 00:00:00,187,1,37.0,37,100.0,3.3333333333333335,3.0,0.0,450,Low
C00100,51,Chennai,Tamil Nadu,100,1,2024-09-03 00:00:00,2024-09-03 00:00:00,119,1,65.0,65,100.0,5.0,5.0,0.0,560,Low
C00101,55,Chennai,Tamil Nadu,400,3,2023-01-19 00:00:00,2023-10-10 00:00:00,448,1,49.6,63,100.0,3.2,1.0,0.0,9370,High
C00102,33,Ahmedabad,Gujarat,147,1,2023-07-28 00:00:00,2023-07-28 00:00:00,522,1,46.0,46,100.0,3.5,3.0,200.0,360,Low
C00103,38,Bengaluru,Karnataka,231,1,2023-07-05 00:00:00,2023-07-05 00:00:00,545,1,40.0,40,100.0,3.0,3.0,0.0,120,Low
C00104,56,Chennai,Tamil Nadu,161,1,2023-01-11 00:00:00,2023-01-11 00:00:00,720,1,26.0,26,100.0,3.5,3.0,0.0,0,Low
C00105,44,Ahmedabad,Gujarat,162,2,2023-05-22 00:00:00,2023-07-09 00:00:00,541,1,32.25,36,100.0,4.0,3.0,0.0,5740,Mid
C00106,19,Delhi,Delhi,429,1,2023-03-11 00:00:00,2023-03-11 00:00:00,661,1,11.0,11,100.0,,,0.0,1500,Low
C00107,55,Pune,Maharashtra,246,3,2023-09-24 00:00:00,2024-09-27 00:00:00,95,1,38.8,63,100.0,2.75,2.0,66.66666666666667,6780,High
C00108,53,Pune,Maharashtra,370,3,2023-11-06 00:00:00,2024-07-02 00:00:00,182,1,44.666666666666664,72,100.0,5.0,5.0,33.333333333333336,5850,Mid
C00109,25,Hyderabad,Telangana,407,1,2023-12-13 00:00:00,2023-12-13 00:00:00,384,1,27.0,27,100.0,5.0,5.0,100.0,1010,Low
C00110,48,Chennai,Tamil Nadu,127,1,2024-05-09 00:00:00,2024-05-09 00:00:00,236,1,26.0,26,100.0,4.5,4.0,0.0,1500,Low
C00111,30,Chennai,Tamil Nadu,498,3,2023-01-27 00:00:00,2023-10-25 00:00:00,433,1,44.666666666666664,76,66.66666666666666,,,0.0,7810,High
C00112,52,Bengaluru,Karnataka,450,2,2024-01-29 00:00:00,2024-07-02 00:00:00,182,1,38.0,59,100.0,,,0.0,5390,Mid
C00113,26,Ahmedabad,Gujarat,625,4,2024-04-12 00:00:00,2024-12-26 00:00:00,5,0,32.2,50,100.0,4.333333333333333,3.0,0.0,6400,High
C00115,22,Kolkata,West Bengal,227,2,2023-05-07 00:00:00,2023-12-26 00:00:00,371,1,27.666666666666668,41,100.0,3.5,3.0,0.0,1330,Low
C00116,54,Chennai,Tamil Nadu,643,3,2024-03-21 00:00:00,2024-11-13 00:00:00,48,0,43.857142857142854,51,100.0,3.6666666666666665,2.0,0.0,4390,Mid
C00118,46,Chennai,Tamil Nadu,128,2,2024-04-03 00:00:00,2024-06-05 00:00:00,209,1,2.0,2,100.0,3.25,2.0,0.0,1560,Low
C00119,57,Delhi,Delhi,518,2,2023-03-12 00:00:00,2023-08-11 00:00:00,508,1,40.75,61,100.0,4.5,3.0,0.0,4870,Mid
C00120,29,Jaipur,Rajasthan,654,2,2023-10-23 00:00:00,2024-08-17 00:00:00,136,1,39.0,54,100.0,,,0.0,1670,Low
C00121,56,Ahmedabad,Gujarat,432,1,2024-03-03 00:00:00,2024-03-03 00:00:00,303,1,-3.0,-3,0.0,5.0,5.0,0.0,700,Low
C00123,30,Kolkata,West Bengal,613,5,2023-01-30 00:00:00,2024-10-31 00:00:00,61,0,31.333333333333332,56,66.66666666666666,4.0,3.0,40.0,5260,Mid
C00125,54,Chennai,Tamil Nadu,281,2,2024-09-21 00:00:00,2024-10-06 00:00:00,86,0,44.0,47,100.0,,,0.0,6190,High
C00126,35,Jaipur,Rajasthan,178,2,2023-03-03 00:00:00,2023-12-29 00:00:00,368,1,21.75,25,100.0,3.25,1.0,0.0,2270,Mid
C00128,54,Lucknow,Uttar Pradesh,709,3,2023-02-07 00:00:00,2023-10-10 00:00:00,448,1,0.375,38,12.5,4.0,3.0,200.0,3660,Mid
C00129,29,Ahmedabad,Gujarat,199,3,2023-10-01 00:00:00,2024-10-07 00:00:00,85,0,35.666666666666664,45,100.0,3.3333333333333335,2.0,66.66666666666667,5870,Mid
C00130,45,Ahmedabad,Gujarat,637,2,2023-06-16 00:00:00,2023-10-15 00:00:00,443,1,16.5,30,100.0,3.0,3.0,0.0,6720,High
C00131,60,Delhi,Delhi,566,4,2023-04-02 00:00:00,2024-08-07 00:00:00,146,1,31.2,38,100.0,4.5,4.0,25.0,10970,High
C00132,43,Jaipur,Rajasthan,693,2,2023-07-22 00:00:00,2023-10-08 00:00:00,450,1,33.666666666666664,51,66.66666666666666,2.5,1.0,0.0,4920,Mid
C00135,31,Chennai,Tamil Nadu,168,1,2023-06-30 00:00:00,2023-06-30 00:00:00,550,1,23.0,23,100.0,,,0.0,2100,Mid
C00136,49,Delhi,Delhi,701,2,2024-06-13 00:00:00,2024-09-13 00:00:00,109,1,36.5,46,100.0,4.5,4.0,0.0,1090,Low
C00137,18,Jaipur,Rajasthan,313,1,2024-09-07 00:00:00,2024-09-07 00:00:00,115,1,19.0,19,100.0,4.0,4.0,0.0,510,Low
C00138,25,Bengaluru,Karnataka,220,2,2023-02-11 00:00:00,2023-04-21 00:00:00,620,1,33.0,57,100.0,5.0,5.0,0.0,4400,Mid
C00139,48,Ahmedabad,Gujarat,481,1,2023-01-08 00:00:00,2023-01-08 00:00:00,723,1,21.0,21,100.0,3.5,3.0,0.0,0,Low
C00140,56,Jaipur,Rajasthan,591,1,2023-06-23 00:00:00,2023-06-23 00:00:00,557,1,25.0,25,100.0,2.0,1.0,0.0,1740,Low
C00141,50,Chennai,Tamil Nadu,728,2,2023-08-21 00:00:00,2024-03-14 00:00:00,292,1,48.0,63,100.0,4.0,4.0,50.0,4530,Mid
C00143,53,Jaipur,Rajasthan,344,3,2023-01-06 00:00:00,2024-04-24 00:00:00,251,1,36.4,49,80.0,4.5,4.0,0.0,3820,Mid
C00144,33,Lucknow,Uttar Pradesh,338,1,2023-10-16 00:00:00,2023-10-16 00:00:00,442,1,-5.0,-5,0.0,3.0,3.0,100.0,1690,Low
C00145,48,Kolkata,West Bengal,335,2,2023-04-26 00:00:00,2024-07-02 00:00:00,182,1,15.5,20,100.0,4.0,4.0,50.0,2680,Mid
C00146,55,Pune,Maharashtra,628,1,2023-10-15 00:00:00,2023-10-15 00:00:00,443,1,0.0,0,0.0,,,0.0,500,Low
C00147,18,Bengaluru,Karnataka,311,3,2023-11-11 00:00:00,2024-11-05 00:00:00,56,0,45.666666666666664,78,66.66666666666666,3.3333333333333335,1.0,0.0,4770,Mid
C00148,34,Pune,Maharashtra,92,3,2023-01-17 00:00:00,2024-09-29 00:00:00,93,1,9.0,22,66.66666666666666,3.3333333333333335,1.0,66.66666666666667,4190,Mid
C00149,52,Kolkata,West Bengal,406,3,2023-12-28 00:00:00,2024-03-20 00:00:00,286,1,28.0,52,100.0,2.0,1.0,0.0,2270,Mid
C00150,33,Chennai,Tamil Nadu,498,4,2024-06-29 00:00:00,2024-10-09 00:00:00,83,0,57.285714285714285,79,100.0,4.75,4.0,0.0,5250,Mid
C00151,24,Ahmedabad,Gujarat,560,1,2024-07-14 00:00:00,2024-07-14 00:00:00,170,1,23.0,23,100.0,4.0,4.0,0.0,680,Low
C00152,21,Chennai,Tamil Nadu,363,3,2023-02-07 00:00:00,2024-08-13 00:00:00,140,1,36.714285714285715,57,100.0,4.571428571428571,3.0,0.0,1260,Low
C00153,44,Lucknow,Uttar Pradesh,32,2,2023-06-19 00:00:00,2024-05-04 00:00:00,241,1,23.333333333333332,26,100.0,4.5,3.0,0.0,3990,Mid
C00155,47,Chennai,Tamil Nadu,260,3,2023-03-25 00:00:00,2024-10-13 00:00:00,79,0,23.2,36,100.0,4.75,4.0,33.333333333333336,5110,Mid
C00156,52,Bengaluru,Karnataka,655,1,2023-09-07 00:00:00,2023-09-07 00:00:00,481,1,50.0,50,100.0,5.0,5.0,100.0,1000,Low
C00157,45,Chennai,Tamil Nadu,263,2,2023-12-31 00:00:00,2024-11-18 00:00:00,43,0,18.0,28,100.0,,,50.0,7950,High
C00158,24,Hyderabad,Telangana,340,3,2023-02-10 00:00:00,2024-05-09 00:00:00,236,1,26.0,56,100.0,3.3333333333333335,1.0,0.0,4770,Mid
C00159,36,Mumbai,Maharashtra,56,1,2024-05-01 00:00:00,2024-05-01 00:00:00,244,1,47.0,47,100.0,3.0,1.0,0.0,700,Low
C00160,21,Lucknow,Uttar Pradesh,222,3,2023-06-27 00:00:00,2024-09-21 00:00:00,101,1,21.0,42,100.0,3.5,2.0,33.333333333333336,10360,High
C00163,26,Delhi,Delhi,428,5,2023-04-22 00:00:00,2024-11-25 00:00:00,36,0,22.666666666666668,66,66.66666666666666,4.25,2.0,0.0,6270,High
C00164,52,Pune,Maharashtra,187,1,2023-04-08 00:00:00,2023-04-08 00:00:00,633,1,54.0,54,100.0,,,0.0,1160,Low
C00165,48,Chennai,Tamil Nadu,384,1,2023-11-22 00:00:00,2023-11-22 00:00:00,405,1,39.0,39,100.0,,,0.0,1500,Low
C00166,32,Kolkata,West Bengal,160,1,2023-01-11 00:00:00,2023-01-11 00:00:00,720,1,70.0,70,100.0,5.0,5.0,0.0,2000,Mid
C00167,52,Delhi,Delhi,265,2,2023-03-08 00:00:00,2023-10-29 00:00:00,429,1,32.5,38,100.0,4.5,4.0,0.0,2630,Mid
C00168,58,Pune,Maharashtra,620,4,2023-11-29 00:00:00,2024-12-20 00:00:00,11,0,40.6,68,80.0,4.333333333333333,4.0,50.0,9940,High
C00169,53,Pune,Maharashtra,106,2,2023-06-09 00:00:00,2024-06-04 00:00:00,210,1,39.666666666666664,49,100.0,2.5,1.0,0.0,8990,High
C00171,49,Delhi,Delhi,631,2,2023-03-11 00:00:00,2024-12-27 00:00:00,4,0,28.0,32,100.0,3.5,3.0,50.0,5150,Mid
C00172,41,Jaipur,Rajasthan,301,1,2024-01-26 00:00:00,2024-01-26 00:00:00,340,1,35.0,35,100.0,3.5,3.0,0.0,300,Low
C00173,49,Lucknow,Uttar Pradesh,313,4,2023-03-19 00:00:00,2024-11-15 00:00:00,46,0,42.875,83,100.0,3.5,1.0,0.0,5180,Mid
C00174,46,Hyderabad,Telangana,359,3,2023-04-25 00:00:00,2024-12-31 00:00:00,0,0,42.6,58,100.0,4.0,3.0,0.0,5640,Mid
C00175,59,Pune,Maharashtra,668,2,2023-09-05 00:00:00,2024-01-03 00:00:00,363,1,2.5,10,50.0,5.0,5.0,0.0,2350,Mid
C00177,39,Hyderabad,Telangana,602,3,2023-07-21 00:00:00,2023-12-29 00:00:00,368,1,29.6,59,60.0,4.6,4.0,66.66666666666667,6580,High
C00178,53,Hyderabad,Telangana,130,4,2023-04-16 00:00:00,2024-11-07 00:00:00,54,0,11.6,35,80.0,4.75,4.0,50.0,4470,Mid
C00179,56,Mumbai,Maharashtra,447,1,2023-06-03 00:00:00,2023-06-03 00:00:00,577,1,24.0,24,100.0,3.0,3.0,0.0,710,Low
C00180,29,Delhi,Delhi,54,6,2023-01-05 00:00:00,2024-10-13 00:00:00,79,0,39.55555555555556,78,100.0,4.0,3.0,0.0,9550,High
C00182,44,Jaipur,Rajasthan,614,3,2023-02-20 00:00:00,2023-05-01 00:00:00,610,1,32.0,53,100.0,3.0,3.0,0.0,2670,Mid
C00183,50,Lucknow,Uttar Pradesh,619,1,2023-04-18 00:00:00,2023-04-18 00:00:00,623,1,20.0,20,100.0,4.333333333333333,4.0,0.0,5170,Mid
C00184,20,Jaipur,Rajasthan,422,3,2023-11-20 00:00:00,2024-08-03 00:00:00,150,1,15.5,32,100.0,3.75,3.0,0.0,1960,Mid
C00185,43,Kolkata,West Bengal,28,1,2023-07-08 00:00:00,2023-07-08 00:00:00,542,1,41.0,41,100.0,3.0,1.0,0.0,1420,Low
C00186,23,Pune,Maharashtra,108,1,2024-11-20 00:00:00,2024-11-20 00:00:00,41,0,33.0,33,100.0,4.0,4.0,0.0,1620,Low
C00187,58,Lucknow,Uttar Pradesh,169,1,2023-09-17 00:00:00,2023-09-17 00:00:00,471,1,43.0,43,100.0,,,0.0,950,Low
C00188,47,Jaipur,Rajasthan,111,1,2024-08-30 00:00:00,2024-08-30 00:00:00,123,1,64.0,64,100.0,,,0.0,1200,Low
C00189,59,Jaipur,Rajasthan,510,3,2023-11-28 00:00:00,2024-09-09 00:00:00,113,1,21.5,29,100.0,5.0,5.0,66.66666666666667,4740,Mid
C00190,47,Kolkata,West Bengal,305,1,2024-10-23 00:00:00,2024-10-23 00:00:00,69,0,-5.0,-5,0.0,4.0,4.0,0.0,1570,Low
C00193,53,Jaipur,Rajasthan,393,2,2023-05-24 00:00:00,2023-09-18 00:00:00,470,1,47.6,55,100.0,3.5,3.0,50.0,0,Low
C00194,45,Mumbai,Maharashtra,436,3,2023-09-25 00:00:00,2024-11-25 00:00:00,36,0,59.5,73,100.0,4.8,4.0,0.0,5520,Mid
C00195,50,Hyderabad,Telangana,572,2,2024-02-10 00:00:00,2024-07-03 00:00:00,181,1,34.5,48,100.0,4.5,4.0,0.0,4310,Mid
C00196,53,Pune,Maharashtra,613,1,2024-09-11 00:00:00,2024-09-11 00:00:00,111,1,40.0,40,100.0,1.0,1.0,0.0,0,Low
